,station_id,name,lat,lon,address,nearby_distance,capacity,_ride_code_support,is_charging_station,rent_key,rent_phone,rent_transit_card,rent_credit_card
0,7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,Fort York  Blvd / Capreol Ct,500.0,35,True,False,True,True,True,True
1,7002,St. George St / Bloor St W,43.667333,-79.399429,St. George St / Bloor St W,500.0,19,True,False,True,True,True,True
2,7003,Madison Ave / Bloor St W,43.667158,-79.402761,Madison Ave / Bloor St W,500.0,15,True,False,True,True,True,True
3,7004,University Ave / Elm St,43.656518,-79.389099,University Ave / Elm St,500.0,11,True,False,True,True,True,True
4,7005,King St W / York St,43.6480008,-79.383177,King St W / York St,500.0,23,True,False,True,True,True,True
5,7006,Bay St / College St (East Side),43.660439,-79.385525,Bay St / College St (East Side),500.0,19,True,False,True,True,True,True
6,7007,College St / Huron St,43.658148,-79.398167,College St / Huron St,500.0,19,True,False,True,True,True,True
7,7008,Wellesley St W / Queen's Park Cres,43.663376,-79.392125,Wellesley St W / Queen's Park Cres,500.0,18,True,False,True,True,True,True
8,7009,King St E / Jarvis St,43.650325,-79.372287,King St E / Jarvis St,500.0,25,True,False,True,True,True,True
9,7010,King St W / Spadina Ave,43.645323,-79.395003,King St W / Spadina Ave,500.0,19,True,False,True,True,True,True
10,7012,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,Elizabeth St / Edward St (Bus Terminal),500.0,15,True,False,True,True,True,True
11,7015,King St W / Bay St (West Side),43.64852,-79.380576,King St W / Bay St (West Side),500.0,39,True,False,True,True,True,True
12,7016,Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785,Bay St / Queens Quay W (Ferry Terminal),500.0,35,True,False,True,True,True,True
13,7018,Bremner Blvd / Rees St,43.641529,-79.386741,Bremner Blvd / Rees St,500.0,23,True,False,True,True,True,True
14,7020,Phoebe St / Spadina Ave,43.650033,-79.396555,Phoebe St / Spadina Ave,500.0,33,True,False,True,True,True,True
