station_id,name,lat,lon,address,nearby_distance,rental_methods,capacity,_ride_code_support,is_charging_station
7042,Sherbourne St / Wellesley St E,43.6673,-79.374,Sherbourne St / Wellesley St E,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",31,True,False
7043,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,Queens Quay W / Lower Simcoe St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7044,Church St / Alexander St,43.663722,-79.380288,Church St / Alexander St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7045,Bond St / Queen St E,43.653236,-79.376716,Bond St / Queen St E,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",25,True,False
7046,Niagara St / Richmond St W,43.64534,-79.409597,Niagara St / Richmond St W,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",26,True,False
7047,University Ave / Gerrard St W (East Side),43.657763,-79.389165,University Ave / Gerrard St W,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",25,True,False
7048,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,Front St W / Yonge St (Hockey Hall of Fame),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",47,True,False
7050,Richmond St E / Jarvis St Green P,43.652634,-79.374222,Richmond St E / Jarvis St Green P,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",16,True,True
7052,Wellington St W / Bay St,43.647259,-79.379878,Wellington St W / Bay St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7053,Metro Hall Plaza,43.645859,-79.38783,Metro Hall Plaza,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7054,Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,Navy Wharf Ct. / Bremner Blvd.,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7055,Jarvis St / Carlton St,43.66207,-79.37617,Jarvis St / Carlton St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7056,Parliament St / Gerrard St,43.662132,-79.3656796,Parliament St / Gerrard St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",23,True,False
7057,Simcoe St / Wellington St W South,43.6458569,-79.3853654,Simcoe St / Wellington St 1,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7058,Huron St / Harbord St,43.6637,-79.400053,Huron/ Harbord St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7059,Front St W / Blue Jays Way,43.643473,-79.390477,Front St W / Blue Jays Way,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7061,Dalton Rd / Bloor St W,43.6662942,-79.4066433,Dalton Rd / Bloor St W,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7062,University Ave / College St (West),43.659226,-79.390213,University Ave / College St (West),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7063,Queen's Park / Bloor St W,43.668456,-79.393899,Queen's Park / Bloor St W,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7064,51 Parliament St,43.65205,-79.362198,51 Parliament St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
