,Date/Time,Mean Temp (°C),Total Rain (mm),Total Snow (cm),Spd of Max Gust (km/h)
134,2017-05-15,13.1,0.0,0.0,50
135,2017-05-16,12.0,0.8,0.0,<31
136,2017-05-17,19.6,0.0,0.0,69
137,2017-05-18,23.4,2.0,0.0,76
138,2017-05-19,12.9,0.0,0.0,46
139,2017-05-20,11.7,0.0,0.0,50
140,2017-05-21,11.8,11.8,0.0,43
141,2017-05-22,13.8,0.0,0.0,46
142,2017-05-23,16.0,0.4,0.0,35
143,2017-05-24,18.1,0.8,0.0,41
144,2017-05-25,13.2,44.6,0.0,56
145,2017-05-26,15.2,3.8,0.0,32
146,2017-05-27,15.5,0.0,0.0,<31
147,2017-05-28,16.0,0.0,0.0,33
148,2017-05-29,19.9,1.4,0.0,50
149,2017-05-30,17.8,10.2,0.0,78
150,2017-05-31,17.1,0.0,0.0,57
151,2017-06-01,13.6,0.0,0.0,54
152,2017-06-02,14.9,0.0,0.0,48
153,2017-06-03,16.3,0.0,0.0,32
154,2017-06-04,16.4,6.4,0.0,<31
155,2017-06-05,14.5,0.2,0.0,41
156,2017-06-06,13.7,3.2,0.0,48
157,2017-06-07,14.5,0.0,0.0,<31
158,2017-06-08,17.3,0.0,0.0,<31
159,2017-06-09,20.7,0.0,0.0,43
160,2017-06-10,22.6,0.0,0.0,46
161,2017-06-11,26.9,0.0,0.0,48
162,2017-06-12,26.6,0.0,0.0,50
163,2017-06-13,21.8,1.0,0.0,59
164,2017-06-14,19.5,0.0,0.0,43
165,2017-06-15,18.3,0.0,0.0,<31
166,2017-06-16,23.6,8.0,0.0,52
167,2017-06-17,23.6,7.0,0.0,37
168,2017-06-18,24.4,1.8,0.0,67
169,2017-06-19,21.7,0.4,0.0,35
170,2017-06-20,18.5,4.2,0.0,56
171,2017-06-21,17.8,0.0,0.0,39
172,2017-06-22,19.2,4.2,0.0,39
173,2017-06-23,21.4,36.2,0.0,43
174,2017-06-24,19.5,0.0,0.0,61
175,2017-06-25,17.7,1.4,0.0,67
176,2017-06-26,16.6,2.2,0.0,48
177,2017-06-27,16.0,3.6,0.0,57
178,2017-06-28,18.4,0.6,0.0,43
179,2017-06-29,21.3,4.2,0.0,54
180,2017-06-30,24.2,12.6,0.0,41
181,2017-07-01,21.0,1.0,0.0,37
182,2017-07-02,20.6,1.2,0.0,54
183,2017-07-03,20.2,0.0,0.0,32
184,2017-07-04,20.3,0.0,0.0,<31
185,2017-07-05,20.5,0.0,0.0,<31
186,2017-07-06,23.2,0.0,0.0,39
187,2017-07-07,24.7,0.0,0.0,39
188,2017-07-08,19.9,0.0,0.0,52
189,2017-07-09,21.5,0.2,0.0,50
190,2017-07-10,21.8,0.0,0.0,39
191,2017-07-11,23.2,0.0,0.0,32
192,2017-07-12,23.1,0.6,0.0,<31
193,2017-07-13,18.8,2.2,0.0,33
194,2017-07-14,22.6,0.6,0.0,50
195,2017-07-15,22.9,0.0,0.0,37
196,2017-07-16,22.2,0.0,0.0,44
197,2017-07-17,22.6,0.0,0.0,<31
198,2017-07-18,22.8,0.0,0.0,33
199,2017-07-19,25.3,0.0,0.0,43
200,2017-07-20,20.3,19.4,0.0,39
201,2017-07-21,24.3,0.0,0.0,41
202,2017-07-22,22.1,2.4,0.0,<31
203,2017-07-23,22.3,0.0,0.0,37
204,2017-07-24,19.1,0.0,0.0,43
205,2017-07-25,19.2,0.0,0.0,33
206,2017-07-26,18.3,2.6,0.0,<31
207,2017-07-27,22.5,5.4,0.0,33
208,2017-07-28,19.3,0.0,0.0,41
209,2017-07-29,21.4,0.0,0.0,41
210,2017-07-30,24.3,0.0,0.0,41
211,2017-07-31,24.2,2.0,0.0,56
212,2017-08-01,23.4,13.4,0.0,59
213,2017-08-02,24.3,0.2,0.0,48
214,2017-08-03,22.9,0.4,0.0,<31
215,2017-08-04,21.0,29.6,0.0,43
216,2017-08-05,17.2,0.2,0.0,61
217,2017-08-06,18.9,0.0,0.0,39
218,2017-08-07,18.1,0.4,0.0,41
219,2017-08-08,19.7,0.0,0.0,35
220,2017-08-09,22.5,0.0,0.0,43
221,2017-08-10,22.3,0.0,0.0,33
222,2017-08-11,21.1,2.2,0.0,41
223,2017-08-12,21.1,0.4,0.0,41
224,2017-08-13,20.0,0.0,0.0,<31
225,2017-08-14,21.4,0.0,0.0,<31
226,2017-08-15,21.9,1.4,0.0,41
227,2017-08-16,20.1,0.0,0.0,<31
228,2017-08-17,20.3,14.6,0.0,32
229,2017-08-18,23.4,0.0,0.0,48
230,2017-08-19,20.5,0.0,0.0,46
231,2017-08-20,22.1,0.0,0.0,37
232,2017-08-21,24.3,0.0,0.0,<31
233,2017-08-22,20.3,8.0,0.0,69
234,2017-08-23,17.5,0.0,0.0,52
235,2017-08-24,15.6,0.0,0.0,35
236,2017-08-25,16.4,0.0,0.0,<31
237,2017-08-26,16.4,0.0,0.0,<31
238,2017-08-27,16.8,0.0,0.0,39
239,2017-08-28,19.4,0.0,0.0,33
240,2017-08-29,19.2,0.0,0.0,<31
241,2017-08-30,19.0,0.2,0.0,<31
242,2017-08-31,14.5,3.8,0.0,50
243,2017-09-01,12.7,0.0,0.0,<31
244,2017-09-02,13.7,0.0,0.0,41
245,2017-09-03,17.9,8.8,0.0,50
246,2017-09-04,20.3,8.6,0.0,67
247,2017-09-05,17.1,4.6,0.0,48
248,2017-09-06,16.0,0.0,0.0,<31
249,2017-09-07,15.0,4.2,0.0,50
250,2017-09-08,14.0,0.0,0.0,41
251,2017-09-09,12.8,0.0,0.0,32
252,2017-09-10,13.7,0.0,0.0,<31
