station_id,name,lat,lon,address,capacity,ward_id,first_use
7244,Dufferin Gate - SMART,43.633473,-79.425679,Dufferin Gate,16,10,2018-01-08
7245,Tecumseth St / Queen St W - SMART,43.646552,-79.406468,Tecumseth St / Queen St W,9,10,2018-01-01
7246,Yonge St / Bloor St,43.669969,-79.386532,Yonge St / Bloor St,14,11,2018-01-03
7247,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,Howard Park Ave / Dundas St W,12,4,2018-01-11
7248,Baldwin St / Spadina Ave - SMART,43.654905,-79.398448,Baldwin Ave / Spadina Ave,20,11,2018-01-02
7249,Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,Dovercourt Rd / Harrison St (Green P) - SMART,12,9,2018-01-01
7250,Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,Ursula Franklin St / St. George St,16,11,2018-01-01
7251,The Royal Ontario Museum (Bloor St Entrance),43.668500046272165,-79.3946235999697,The Royal Ontario Museum (Bloor St Entrance),19,11,2018-01-01
7252,Robert St / Bloor St W - SMART,43.665846,-79.404998,Robert St / Bloor St W,18,11,2018-01-02
7253,John St  / Mercer St - SMART,43.6461,-79.3895,John St / Mercer St - SMART,12,10,2018-01-01
7256,Vanauley St / Queen St W - SMART,43.648437,-79.39838,Vanauley St / Queen St W,12,10,2018-01-01
7257,Dundas St W / St. Patrick St,43.6545174,-79.3895315,Dundas St W / St. Patrick St,19,10,2018-01-02
7258,Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,Queen St E / Rushbrooke Ave,15,14,2018-01-02
7259,Lower Spadina Ave / Lake Shore Blvd,43.638497,-79.39192,Lower Spadina Ave / Lake Shore Blvd W,19,10,2018-01-01
7260,Spadina Ave / Adelaide St W,43.6472019,-79.3953394,Spadina Ave / Adelaide St W,15,10,2018-01-01
7261,Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,Queens Quay E / Lower Sherbourne,26,10,2019-07-01
7262,Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,Wychwood Ave / Benson Ave,16,12,2018-01-02
7263,Walton St / Elizabeth St - SMART,43.657838,-79.38631,Walton St / Elizabeth St,20,11,2018-01-02
7264,Bloor St E / Huntley St - SMART,43.671535,-79.379173,Bloor St E / Huntley St,16,13,2018-01-02
7265,Wallace Ave / Symington Ave - SMART,43.661324,-79.449534,Wallace Ave / Symington Ave,12,9,2018-01-02
7266,Victoria Park Subway Station - SMART,43.6940155,-79.2889842,Victoria Park Subway Station,20,20,2018-01-11
7267,Dundas St E / Pembroke St - SMART,43.658295,-79.372346,Dundas St E / Pembroke St,16,13,2018-01-01
7268,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,111 Bond St (North of Dundas St E),16,13,2018-01-02
7269,Toronto Eaton Centre (Yonge St) - SMART,43.655431,-79.380653,Toronto Eaton Centre (Yonge St),20,13,2018-01-01
